timestamp_ms,window_deauths,total_deauths,threshold_alert,zscore,zscore_alert
6099,0,0,0,0.00,0
11099,0,0,0,0.00,0
16099,0,0,0,0.00,0
21099,0,0,0,0.00,0
26099,0,0,0,0.00,0
31099,0,0,0,0.00,0
36099,0,0,0,0.00,0
41099,0,0,0,0.00,0
46099,0,0,0,0.00,0
51099,0,0,0,0.00,0
56099,1,1,0,0.00,0
61099,2,3,0,6.64,1
66099,2,5,0,6.64,1
71099,1,6,0,3.16,1
76099,2,8,0,6.64,1
81099,1,9,0,3.16,1
86099,2,11,0,6.64,1
91099,1,12,0,3.16,1
96099,2,14,0,6.64,1
101099,2,16,0,6.64,1
106099,1,17,0,3.16,1
111099,2,19,0,6.64,1
116099,1,20,0,3.16,1
121099,2,22,0,6.64,1
126099,2,24,0,6.64,1
131099,1,25,0,3.16,1
136099,2,27,0,6.64,1
141099,1,28,0,3.16,1
146099,2,30,0,6.64,1
151099,2,32,0,6.64,1
156099,1,33,0,3.16,1
161099,2,35,0,6.64,1
166099,1,36,0,3.16,1
171099,2,38,0,6.64,1
176099,2,40,0,6.64,1
181099,1,41,0,3.16,1
186099,2,43,0,6.64,1
191099,1,44,0,3.16,1
196099,2,46,0,6.64,1
201099,2,48,0,6.64,1
206099,1,49,0,3.16,1
211099,2,51,0,6.64,1
216099,1,52,0,3.16,1
221099,2,54,0,6.64,1
226099,1,55,0,3.16,1
231099,2,57,0,6.64,1
236099,2,59,0,6.64,1
241099,1,60,0,3.16,1
246099,2,62,0,6.64,1
251099,1,63,0,3.16,1
256099,2,65,0,6.64,1
261099,2,67,0,6.64,1
266099,1,68,0,3.16,1
271099,2,70,0,6.64,1
276099,1,71,0,3.16,1
281099,2,73,0,6.64,1
286099,2,75,0,6.64,1
291099,1,76,0,3.16,1
296099,2,78,0,6.64,1
301099,1,79,0,3.16,1
306099,2,81,0,6.64,1
311099,2,83,0,6.64,1
316099,1,84,0,3.16,1
321099,2,86,0,6.64,1
326099,1,87,0,3.16,1
331099,2,89,0,6.64,1
336099,1,90,0,3.16,1
341099,2,92,0,6.64,1
346099,2,94,0,6.64,1
351099,1,95,0,3.16,1
356099,1,96,0,3.16,1
361099,0,96,0,-0.32,0
366099,0,96,0,-0.30,0
371099,0,96,0,-0.30,0
376099,0,96,0,-0.30,0
381099,0,96,0,-0.30,0
386099,0,96,0,-0.30,0
391099,0,96,0,-0.30,0
396099,0,96,0,-0.30,0
401099,0,96,0,-0.30,0
406099,0,96,0,-0.30,0
411099,0,96,0,-0.30,0
416099,0,96,0,-0.30,0
421099,19,115,1,0.00,0
426099,31,146,1,0.00,0
431099,31,177,1,0.00,0
436099,31,208,1,0.00,0
441099,30,238,1,0.00,0
446099,30,268,1,0.00,0
451099,30,298,1,0.00,0
456099,28,326,1,0.00,0
461099,31,357,1,0.00,0
466099,30,387,1,0.00,0
471099,30,417,1,0.00,0
476099,30,447,1,0.00,0
481099,13,460,1,0.00,0
486099,0,460,0,0.00,0
491099,0,460,0,0.00,0
496099,0,460,0,0.00,0
501099,0,460,0,0.00,0
506099,0,460,0,0.00,0
511099,0,460,0,0.00,0
516099,28,488,1,0.00,0
521099,30,518,1,0.00,0
526099,29,547,1,0.00,0
531099,29,576,1,0.00,0
536099,28,604,1,0.00,0
541099,28,632,1,0.00,0
546099,29,661,1,0.00,0
551099,29,690,1,0.00,0
556099,28,718,1,0.00,0
561099,30,748,1,0.00,0
566099,29,777,1,0.00,0
571099,30,807,1,0.00,0
576099,1,808,0,0.00,0
581099,0,808,0,-0.30,0
586099,0,808,0,-0.30,0
591099,0,808,0,-0.30,0
596099,0,808,0,-0.30,0
601099,0,808,0,-0.30,0
606099,7,815,0,25.03,1
611099,24,839,1,86.53,1
616099,24,863,1,86.53,1
621099,24,887,1,86.53,1
626099,23,910,1,82.92,1
631099,22,932,1,79.30,1
636099,24,956,1,86.53,1
641099,23,979,1,82.92,1
646099,23,1002,1,82.92,1
651099,24,1026,1,86.53,1
656099,23,1049,1,82.92,1
661099,23,1072,1,82.92,1
666099,17,1089,1,61.21,1
671099,0,1089,0,-0.30,0
676099,0,1089,0,-0.30,0
681099,0,1089,0,-0.30,0
686099,0,1089,0,-0.30,0
691099,0,1089,0,-0.30,0
696099,0,1089,0,-0.30,0
701099,14,1103,1,50.35,1
706099,21,1124,1,75.68,1
711099,22,1146,1,79.30,1
716099,20,1166,1,72.06,1
721099,21,1187,1,75.68,1
726099,21,1208,1,75.68,1
731099,21,1229,1,75.68,1
736099,22,1251,1,79.30,1
741099,21,1272,1,75.68,1
746099,22,1294,1,79.30,1
751099,21,1315,1,75.68,1
756099,22,1337,1,79.30,1
761099,8,1345,0,28.64,1
766099,0,1345,0,-0.30,0
771099,0,1345,0,0.00,0
776099,0,1345,0,0.00,0
781099,0,1345,0,0.00,0
786099,0,1345,0,0.00,0
791099,0,1345,0,0.00,0
796099,16,1361,1,0.00,0
801099,17,1378,1,0.00,0
806099,16,1394,1,0.00,0
811099,16,1410,1,0.00,0
816099,16,1426,1,0.00,0
821099,16,1442,1,0.00,0
826099,16,1458,1,0.00,0
831099,16,1474,1,0.00,0
836099,16,1490,1,0.00,0
841099,16,1506,1,0.00,0
846099,16,1522,1,0.00,0
851099,16,1538,1,0.00,0
856099,1,1539,0,0.00,0
861099,0,1539,0,-0.30,0
866099,0,1539,0,-0.30,0
871099,0,1539,0,-0.30,0
876099,0,1539,0,-0.30,0
881099,0,1539,0,-0.30,0
886099,4,1543,0,14.17,1
891099,11,1554,1,39.50,1
896099,11,1565,1,39.50,1
901099,11,1576,1,39.50,1
906099,12,1588,1,43.12,1
911099,11,1599,1,39.50,1
916099,11,1610,1,39.50,1
921099,11,1621,1,39.50,1
926099,11,1632,1,39.50,1
931099,11,1643,1,39.50,1
936099,12,1655,1,43.12,1
941099,11,1666,1,39.50,1
946099,9,1675,0,32.26,1
951099,0,1675,0,-0.30,0
956099,0,1675,0,-0.30,0
961099,0,1675,0,-0.30,0
966099,0,1675,0,-0.30,0
971099,0,1675,0,-0.30,0
976099,0,1675,0,-0.30,0
981099,5,1680,0,17.79,1
986099,8,1688,0,28.64,1
991099,8,1696,0,28.64,1
996099,8,1704,0,28.64,1
1001099,8,1712,0,28.64,1
1006099,9,1721,0,32.26,1
1011099,8,1729,0,28.64,1
1016099,8,1737,0,28.64,1
1021099,8,1745,0,28.64,1
1026099,8,1753,0,28.64,1
1031099,8,1761,0,28.64,1
1036099,8,1769,0,28.64,1
1041099,4,1773,0,14.17,1
1046099,0,1773,0,-0.30,0
1051099,0,1773,0,0.00,0
1056099,0,1773,0,0.00,0
1061099,0,1773,0,0.00,0
1066099,0,1773,0,0.00,0
1071099,0,1773,0,0.00,0
1076099,4,1777,0,0.00,0
1081099,5,1782,0,4.22,1
1086099,4,1786,0,3.32,1
1091099,5,1791,0,4.22,1
1096099,4,1795,0,3.32,1
1101099,5,1800,0,4.22,1
1106099,4,1804,0,3.32,1
1111099,5,1809,0,4.22,1
1116099,4,1813,0,3.32,1
1121099,5,1818,0,4.22,1
1126099,4,1822,0,3.32,1
1131099,5,1827,0,4.22,1
1136099,1,1828,0,0.60,0
1141099,0,1828,0,-0.37,0
1146099,0,1828,0,-0.37,0
1151099,0,1828,0,-0.37,0
1156099,0,1828,0,-0.37,0
1161099,0,1828,0,-0.37,0
1166099,0,1828,0,-0.37,0
1171099,3,1831,0,2.32,0
1176099,2,1833,0,1.02,0
1181099,3,1836,0,1.61,0
1186099,2,1838,0,0.64,0
1191099,2,1840,0,0.53,0
1196099,3,1843,0,1.61,0
1201099,2,1845,0,0.58,0
1206099,2,1847,0,0.46,0
1211099,3,1850,0,1.19,0
1216099,2,1852,0,0.15,0
1221099,3,1855,0,1.00,0
1226099,2,1857,0,-0.30,0
1231099,0,1857,0,-4.90,0
1236099,0,1857,0,-2.71,0
1241099,0,1857,0,-2.00,0
1246099,0,1857,0,-1.61,0
1251099,0,1857,0,-1.33,0
1256099,0,1857,0,-1.13,0
1261099,0,1857,0,-0.96,0
1266099,0,1857,0,-0.82,0
1271099,0,1857,0,-0.69,0
1276099,0,1857,0,-0.56,0
1281099,0,1857,0,-0.44,0
1286099,0,1857,0,-0.30,0
1291099,0,1857,0,0.00,0
1296099,0,1857,0,0.00,0
1301099,0,1857,0,0.00,0
1306099,0,1857,0,0.00,0
1311099,0,1857,0,0.00,0
1316099,0,1857,0,0.00,0
1321099,0,1857,0,0.00,0
1326099,0,1857,0,0.00,0
1331099,0,1857,0,0.00,0
1336099,0,1857,0,0.00,0
1341099,0,1857,0,0.00,0
1346099,0,1857,0,0.00,0
1351099,0,1857,0,0.00,0
1356099,0,1857,0,0.00,0
1361099,0,1857,0,0.00,0
1366099,0,1857,0,0.00,0
1371099,0,1857,0,0.00,0
1376099,0,1857,0,0.00,0